Epoch	Time(sec)	Loss_E	Loss_V	MAE_val(eV)	MAE_test(eV)
0	37.5013322349987	24257.83667783253	6607.4733137488365	0.7564772367477417	0.7404453158378601
1	74.96551916602766	3663.3450873885304	1751.1274210512638	0.6671108603477478	0.664299488067627
2	112.19974428700516	2810.9524519853294	1333.3713826537132	0.5714102387428284	0.5754664540290833
3	149.64478524803417	2097.2243763697334	1090.0055441707373	0.47582679986953735	0.49764636158943176
4	186.69386542000575	1579.7272642166354	940.9539619088173	0.8679779171943665	0.8929451704025269
5	223.81873819802422	1322.374795247335	838.3921842873096	0.3927017152309418	0.3885613977909088
6	261.07722000504145	1147.1219331528991	757.0519384592772	0.3569207489490509	0.3533707559108734
7	298.372163566004	1025.1506189377978	689.4021428972483	0.3369763195514679	0.3453993797302246
8	335.82376497704536	936.2296825062949	631.5810342282057	0.4671829342842102	0.46912920475006104
9	373.25861133803846	859.2789808628149	585.0746711790562	0.31698742508888245	0.321595162153244
10	410.5990988680278	790.163220636081	544.9119196906686	0.29671263694763184	0.2988482415676117
11	447.8766780649894	735.4699496104149	507.17483485490084	0.3349144458770752	0.33082571625709534
12	485.13440623204224	728.0832518250681	474.6598664075136	0.5120968222618103	0.5200321078300476
13	522.4454506440088	691.100409139879	444.6710780188441	0.3098519444465637	0.30748412013053894
14	559.5863915620139	657.1761459233821	418.270867228508	0.27033478021621704	0.27828603982925415
15	596.9195196669898	618.9561795319896	394.8487013205886	0.27929821610450745	0.27658596634864807
16	634.229196174012	600.2655990587082	372.96647050231695	0.4144059717655182	0.4203815758228302
17	671.1803363580257	598.945060250815	354.7950152605772	0.3645290434360504	0.3725040853023529
18	708.518433995021	562.0947056970326	337.1386329680681	0.688181459903717	0.6789078712463379
19	745.7763465110329	574.1496937901247	321.32677964121103	0.26791417598724365	0.26792487502098083
20	783.1601172380033	531.5934367117006	308.1142045147717	0.3049919307231903	0.29987266659736633
21	820.465370608028	533.2382790733827	293.94406398385763	0.6699494123458862	0.6588319540023804
22	857.9280459330184	495.7981858601561	280.4375029914081	0.3316621482372284	0.32901808619499207
